pair_id,pass,latency_ms
e1-q125-gt,2,2.937
e1-q125-hal,2,2.096
e1-q126-gt,2,2.75
e1-q126-hal,2,3.421
e1-q127-gt,2,2.517
e1-q127-hal,2,2.108
e1-q128-gt,2,1.848
e1-q128-hal,2,1.526
e1-q129-gt,2,1.561
e1-q129-hal,2,1.582
e1-q130-gt,2,3.221
e1-q130-hal,2,2.887
e1-q131-gt,2,2.184
e1-q131-hal,2,1.648
e1-q132-gt,2,6.71
e1-q132-hal,2,3.151
e1-q133-gt,2,2.666
e1-q133-hal,2,2.558
e1-q134-gt,2,1.625
e1-q134-hal,2,1.634
e1-q135-gt,2,1.525
e1-q135-hal,2,1.851
e1-q136-gt,2,2.29
e1-q136-hal,2,1.932
e1-q137-gt,2,3.488
e1-q137-hal,2,2.106
e1-q138-gt,2,2.21
e1-q138-hal,2,2.035
e1-q139-gt,2,2.261
e1-q139-hal,2,1.998
e1-q140-gt,2,2.653
e1-q140-hal,2,2.915
e1-q141-gt,2,3.948
e1-q141-hal,2,2.489
e1-q142-gt,2,5.729
e1-q142-hal,2,4.912
e1-q143-gt,2,2.603
e1-q143-hal,2,2.655
e1-q144-gt,2,2.036
e1-q144-hal,2,1.933
e1-q145-gt,2,4.689
e1-q145-hal,2,2.956
e1-q146-gt,2,2.91
e1-q146-hal,2,2.83
e1-q147-gt,2,3.325
e1-q147-hal,2,3.289
e1-q148-gt,2,2.807
e1-q148-hal,2,3.021
e1-q149-gt,2,3.728
e1-q149-hal,2,2.83
e1-q150-gt,2,2.028
e1-q150-hal,2,1.905
e1-q151-gt,2,2.766
e1-q151-hal,2,3.67
e1-q152-gt,2,1.328
e1-q152-hal,2,1.232
e1-q153-gt,2,4.017
e1-q153-hal,2,3.21
e1-q154-gt,2,2.354
e1-q154-hal,2,1.599
e1-q155-gt,2,3.964
e1-q155-hal,2,2.65
e1-q156-gt,2,3.712
e1-q156-hal,2,2.55
e1-q157-gt,2,2.295
e1-q157-hal,2,1.878
e1-q158-gt,2,3.231
e1-q158-hal,2,2.982
e1-q159-gt,2,2.488
e1-q159-hal,2,2.399
e1-q160-gt,2,3.066
e1-q160-hal,2,2.431
e1-q161-gt,2,3.138
e1-q161-hal,2,3.617
e1-q162-gt,2,2.724
e1-q162-hal,2,1.692
e1-q163-gt,2,2.431
e1-q163-hal,2,1.727
e1-q164-gt,2,3.197
e1-q164-hal,2,3.994
e1-q165-gt,2,2.821
e1-q165-hal,2,3.449
e1-q166-gt,2,3.128
e1-q166-hal,2,2.84
e1-q167-gt,2,1.059
e1-q167-hal,2,1.248
e1-q168-gt,2,2.95
e1-q168-hal,2,2.167
e1-q169-gt,2,3.748
e1-q169-hal,2,4.181
e1-q170-gt,2,3.509
e1-q170-hal,2,2.161
e1-q171-gt,2,3.224
e1-q171-hal,2,2.485
e1-q172-gt,2,2.008
e1-q172-hal,2,1.744
e1-q173-gt,2,2.299
e1-q173-hal,2,2.086
e1-q174-gt,2,3.365
e1-q174-hal,2,2.126
e1-q175-gt,2,2.245
e1-q175-hal,2,1.851
e1-q176-gt,2,3.39
e1-q176-hal,2,2.438
e1-q177-gt,2,3.197
e1-q177-hal,2,1.899
e1-q178-gt,2,2.699
e1-q178-hal,2,1.931
e1-q179-gt,2,3.241
e1-q179-hal,2,2.533
e1-q180-gt,2,2.21
e1-q180-hal,2,5.522
e1-q181-gt,2,2.485
e1-q181-hal,2,1.932
e1-q182-gt,2,3.748
e1-q182-hal,2,3.25
e1-q183-gt,2,2.507
e1-q183-hal,2,2.149
e1-q184-gt,2,1.698
e1-q184-hal,2,1.619
e1-q185-gt,2,2.175
e1-q185-hal,2,2.897
e1-q186-gt,2,2.684
e1-q186-hal,2,1.995
e1-q187-gt,2,2.761
e1-q187-hal,2,2.286
e1-q188-gt,2,2.994
e1-q188-hal,2,2.951
e1-q189-gt,2,2.157
e1-q189-hal,2,1.674
e1-q190-gt,2,2.197
e1-q190-hal,2,1.876
e1-q191-gt,2,1.72
e1-q191-hal,2,1.639
e1-q192-gt,2,3.646
e1-q192-hal,2,3.112
e1-q193-gt,2,3.268
e1-q193-hal,2,2.371
e1-q194-gt,2,4.501
e1-q194-hal,2,1.887
e1-q195-gt,2,1.49
e1-q195-hal,2,2.671
e1-q196-gt,2,1.472
e1-q196-hal,2,1.346
e1-q197-gt,2,2.532
e1-q197-hal,2,2.373
e1-q198-gt,2,2.233
e1-q198-hal,2,2.232
e1-q199-gt,2,3.009
e1-q199-hal,2,2.679
e1-q200-gt,2,2.774
e1-q200-hal,2,2.015
e1-q201-gt,2,1.228
e1-q201-hal,2,1.534
e1-q202-gt,2,2.297
e1-q202-hal,2,1.718
e1-q203-gt,2,2.61
e1-q203-hal,2,2.256
e1-q204-gt,2,2.609
e1-q204-hal,2,1.321
e1-q205-gt,2,3.97
e1-q205-hal,2,3.593
e1-q206-gt,2,1.877
e1-q206-hal,2,1.591
e1-q207-gt,2,2.123
e1-q207-hal,2,1.868
e1-q208-gt,2,2.465
e1-q208-hal,2,1.845
e1-q209-gt,2,1.753
e1-q209-hal,2,1.454
e1-q210-gt,2,3.003
e1-q210-hal,2,2.311
e1-q211-gt,2,5.05
e1-q211-hal,2,3.843
e1-q212-gt,2,1.124
e1-q212-hal,2,1.097
e1-q213-gt,2,2.615
e1-q213-hal,2,4.129
e1-q214-gt,2,2.581
e1-q214-hal,2,2.631
e1-q215-gt,2,1.844
e1-q215-hal,2,1.279
e1-q216-gt,2,1.722
e1-q216-hal,2,1.087
e1-q217-gt,2,3.106
e1-q217-hal,2,2.711
e1-q218-gt,2,2.553
e1-q218-hal,2,1.823
e1-q219-gt,2,2.509
e1-q219-hal,2,1.834
e1-q220-gt,2,2.152
e1-q220-hal,2,1.636
e1-q221-gt,2,5.088
e1-q221-hal,2,2.34
e1-q222-gt,2,2.831
e1-q222-hal,2,2.349
e1-q223-gt,2,2.058
e1-q223-hal,2,1.869
e1-q224-gt,2,2.33
e1-q224-hal,2,2.641
e1-q225-gt,2,3.928
e1-q225-hal,2,2.67
e1-q226-gt,2,1.761
e1-q226-hal,2,1.528
e1-q227-gt,2,4.081
e1-q227-hal,2,2.524
e1-q228-gt,2,2.567
e1-q228-hal,2,2.437
e1-q229-gt,2,2.635
e1-q229-hal,2,2.605
e1-q230-gt,2,2.201
e1-q230-hal,2,1.69
e1-q231-gt,2,1.212
e1-q231-hal,2,1.244
e1-q232-gt,2,4.99
e1-q232-hal,2,3.488
e1-q233-gt,2,2.348
e1-q233-hal,2,2.589
e1-q234-gt,2,2.616
e1-q234-hal,2,3.003
e1-q235-gt,2,4.238
e1-q235-hal,2,4.393
e1-q236-gt,2,2.194
e1-q236-hal,2,2.277
e1-q237-gt,2,1.299
e1-q237-hal,2,1.332
e1-q238-gt,2,3.739
e1-q238-hal,2,2.156
e1-q239-gt,2,2.773
e1-q239-hal,2,2.785
e1-q240-gt,2,2.445
e1-q240-hal,2,2.265
e1-q241-gt,2,4.088
e1-q241-hal,2,2.691
e1-q242-gt,2,2.784
e1-q242-hal,2,1.921
e1-q243-gt,2,2.747
e1-q243-hal,2,2.126
e1-q244-gt,2,6.706
e1-q244-hal,2,3.892
e1-q245-gt,2,2.597
e1-q245-hal,2,1.938
e1-q246-gt,2,1.977
e1-q246-hal,2,1.239
e1-q247-gt,2,1.94
e1-q247-hal,2,1.497
e1-q248-gt,2,1.56
e1-q248-hal,2,1.27
e1-q249-gt,2,3.876
e1-q249-hal,2,3.158
