pair_id,pass,latency_ms
e1-q226-gt,2,352.124
e1-q226-hal,2,162.144
e1-q227-gt,2,726.106
e1-q227-hal,2,245.197
e1-q228-gt,2,466.809
e1-q228-hal,2,449.715
e1-q229-gt,2,253.602
e1-q229-hal,2,276.238
e1-q230-gt,2,325.416
e1-q230-hal,2,311.628
e1-q231-gt,2,184.316
e1-q231-hal,2,168.347
e1-q232-gt,2,1056.4
e1-q232-hal,2,548.19
e1-q233-gt,2,303.586
e1-q233-hal,2,321.314
e1-q234-gt,2,263.599
e1-q234-hal,2,283.686
e1-q235-gt,2,882.456
e1-q235-hal,2,923.857
e1-q236-gt,2,269.663
e1-q236-hal,2,284.485
e1-q237-gt,2,157.864
e1-q237-hal,2,142.352
e1-q238-gt,2,980.064
e1-q238-hal,2,328.444
e1-q239-gt,2,295.195
e1-q239-hal,2,289.665
e1-q240-gt,2,244.513
e1-q240-hal,2,220.557
e1-q241-gt,2,807.315
e1-q241-hal,2,263.542
e1-q242-gt,2,341.839
e1-q242-hal,2,286.506
e1-q243-gt,2,438.245
e1-q243-hal,2,301.634
e1-q244-gt,2,1592.748
e1-q244-hal,2,558.697
e1-q245-gt,2,481.657
e1-q245-hal,2,190.927
e1-q246-gt,2,388.812
e1-q246-hal,2,175.33
e1-q247-gt,2,347.874
e1-q247-hal,2,186.799
e1-q248-gt,2,281.912
e1-q248-hal,2,128.823
e1-q249-gt,2,943.117
e1-q249-hal,2,395.112
